transaction_id,customer_id,payment,credit_card,cost,quantity,price
1,4,mastercard,5436588132981892,18.03,4,20.51
2,5,visa,4041373226284127,8.81,2,10.3
3,5,visa,4041599262714086,11.47,4,13.49
4,8,visa,4041379487299159,10.94,1,12.81
5,5,mastercard,5555252582641507,16.11,1,18.09
6,6,mastercard,5048374936258393,5.51,1,6.31
7,4,visa,4178551910888,11.59,1,13.16
8,5,mastercard,5134116480980343,12.31,1,14.26
9,7,visa,4.02E+15,19.61,0,22.24
10,5,visa,4017950642264,3.66,0,4.62
11,5,mastercard,5534080976338612,12.14,1,13.9
12,12,visa,4288068952193862,19.65,2,22.31
13,5,mastercard,5010127422598209,12.48,0,14.28
14,3,visa,4041379641194239,9.08,1,10.89
15,6,mastercard,5518841828288101,10.53,1,12.09
16,12,mastercard,5115686664631972,19.83,0,21.89
17,9,visa,4041594138211631,15.79,1,17.35
18,2,visa,4017959795583889,3.98,3,4.84
19,7,mastercard,5100148829677512,15.55,2,17.39
20,8,mastercard,5214602783697976,9.09,1,10.89
21,5,visa,4669913230971341,6.27,1,6.99
22,12,visa,4041595616040228,5.44,1,6.2
23,10,visa,4811100325196,16.56,2,18.15
24,6,mastercard,5513610994256068,17.7,2,19.91
25,12,visa,4419271813528084,1.71,1,2.32
26,1,mastercard,5010120502170346,18.38,0,20.23
27,3,visa,4017950130202392,17.45,0,19.48
28,7,visa,4017959751785874,19.41,1,21.43
29,2,mastercard,5518741558157759,19.91,2,21.77
30,8,visa,4017955128992102,7.18,3,8.1
31,3,mastercard,5010122598017324,6.78,1,7.65
32,9,visa,4041596532550795,3.33,0,4.49
33,8,mastercard,5100148865406164,6.3,0,7.1
34,7,visa,4041371976940658,1.47,0,2.29
35,1,visa,4041598456430269,9.95,1,11.25
36,5,mastercard,5.58E+15,16.47,1,18.79
37,12,visa,4017958300588136,6.92,0,8.45
38,4,visa,4418583690417,17.51,1,19.82
39,5,visa,4041595598244,9.05,0,10.4
40,1,visa,4247558639656984,8.48,1,9.31
41,8,visa,4041599849742,1.8,0,2.26
42,8,mastercard,5048377110666877,18.97,1,21.1
43,9,mastercard,5460879108517912,4.87,3,5.35
44,7,mastercard,5010127878466364,16.5,0,18.56
45,5,mastercard,5326195164616199,9.84,1,11.24
46,8,visa,4041379719909,11.08,0,12.44
47,10,visa,4041592514954,6.28,0,7.83
48,9,mastercard,5100140555099458,9.26,1,10.63
49,7,visa,4041596819417,10.23,0,11.28
